label,source_file,samples,mean_ms,median_ms,p95_ms,min_ms,max_ms,std_ms
"0329
15:09",comm_latency_20260329_150903_20260329_150931_samples.csv,19515,0.288599,0.000000,2.000000,0.000000,6.000000,0.708034
"0331
15:04",comm_latency_20260331_150411_20260331_150438_samples.csv,19683,0.387339,0.000000,2.000000,0.000000,10.000000,0.803373
"0331
15:10",comm_latency_20260331_151020_20260331_151048_samples.csv,19355,0.317334,0.000000,2.000000,0.000000,8.000000,0.740303
"0331
15:18",comm_latency_20260331_151822_20260331_151850_samples.csv,20037,0.375905,0.000000,2.000000,0.000000,4.000000,0.786969
"0331
18:48",comm_latency_20260331_184837_20260331_184905_samples.csv,19491,0.365092,0.000000,2.000000,0.000000,8.000000,0.785254
"0331
18:53",comm_latency_20260331_185354_20260331_185422_samples.csv,16623,0.220417,0.000000,2.000000,0.000000,4.000000,0.629385
"0331
18:56",comm_latency_20260331_185624_20260331_185656_samples.csv,14084,0.173814,0.000000,2.000000,0.000000,10.000000,0.574401
"0331
19:17",comm_latency_20260331_191715_20260331_191743_samples.csv,14313,0.206246,0.000000,2.000000,0.000000,22.000000,0.708053
"0331
19:28",comm_latency_20260331_192836_20260331_192903_samples.csv,14702,0.302136,0.000000,2.000000,0.000000,6.000000,0.723436
"0331
20:26",comm_latency_20260331_202610_20260331_202637_samples.csv,14097,0.339647,0.000000,2.000000,0.000000,8.000000,0.763721
"0331
20:52",comm_latency_20260331_205257_20260331_205325_samples.csv,14355,0.474956,0.000000,2.000000,0.000000,8.000000,0.860548
"0331
21:26",comm_latency_20260331_212655_20260331_212727_samples.csv,19777,0.571674,0.000000,2.000000,0.000000,8.000000,0.910560
"0331
21:30",comm_latency_20260331_213056_20260331_213124_samples.csv,17362,0.493722,0.000000,2.000000,0.000000,6.000000,0.873280
"0331
21:46",comm_latency_20260331_214642_20260331_214723_samples.csv,24921,0.633843,0.000000,2.000000,0.000000,16.000000,0.964120
"0331
21:56",comm_latency_20260331_215658_20260331_215740_samples.csv,24927,0.468809,0.000000,2.000000,0.000000,16.000000,0.877782
"0331
21:59",comm_latency_20260331_215947_20260331_220013_samples.csv,37700,0.117029,0.000000,2.000000,0.000000,30.000000,0.630020
"0331
22:03",comm_latency_20260331_220312_20260331_220339_samples.csv,26116,0.208991,0.000000,2.000000,0.000000,10.000000,0.633222
"0331
22:05",comm_latency_20260331_220547_20260331_220613_samples.csv,25952,0.206458,0.000000,2.000000,0.000000,8.000000,0.612818
"0331
22:07",comm_latency_20260331_220736_20260331_220803_samples.csv,30455,0.513873,0.000000,2.000000,0.000000,16.000000,0.914157
"0331
22:13",comm_latency_20260331_221346_20260331_221413_samples.csv,33781,0.601936,0.000000,2.000000,0.000000,24.000000,1.014697
"0331
22:17",comm_latency_20260331_221746_20260331_221812_samples.csv,23979,0.467492,0.000000,2.000000,0.000000,8.000000,0.856240
"0331
22:21",comm_latency_20260331_222123_20260331_222150_samples.csv,61800,0.616440,0.000000,2.000000,0.000000,32.000000,1.154795
"0331
22:27",comm_latency_20260331_222733_20260331_222800_samples.csv,12965,0.415118,0.000000,2.000000,0.000000,10.000000,0.821731
"0331
22:33",comm_latency_20260331_223350_20260331_223416_samples.csv,12073,0.376708,0.000000,2.000000,0.000000,4.000000,0.785826
"0331
22:39",comm_latency_20260331_223953_20260331_224021_samples.csv,12494,0.368977,0.000000,2.000000,0.000000,8.000000,0.785638
"0331
22:47",comm_latency_20260331_224709_20260331_224740_samples.csv,12560,0.377389,0.000000,2.000000,0.000000,6.000000,0.790257
"0401
10:02",comm_latency_20260401_100210_20260401_100237_samples.csv,12594,0.365253,0.000000,2.000000,0.000000,6.000000,0.782148
"0401
10:11",comm_latency_20260401_101133_20260401_101159_samples.csv,12434,0.364163,0.000000,2.000000,0.000000,6.000000,0.779321
"0401
10:17",comm_latency_20260401_101710_20260401_101737_samples.csv,12859,0.365969,0.000000,2.000000,0.000000,8.000000,0.784521
"0401
10:21",comm_latency_20260401_102110_20260401_102137_samples.csv,13614,0.389893,0.000000,2.000000,0.000000,4.000000,0.796048
"0402
12:49",comm_latency_20260402_124904_20260402_124931_samples.csv,13548,0.417183,0.000000,2.000000,0.000000,6.000000,0.819508
"0402
15:16",comm_latency_20260402_151645_20260402_151714_samples.csv,13135,0.375638,0.000000,2.000000,0.000000,14.000000,0.812505

summary,value_ms
weighted_mean,0.399257
weighted_median,0.000000
weighted_p95,2.000000
mean_of_means,0.380251
