label,source_file,samples,mean_ms,median_ms,p95_ms,min_ms,max_ms,std_ms
"0404
17:28",comm_latency_20260404_172818_20260404_172846_samples.csv,13509,0.296987,0.000000,2.000000,0.000000,8.000000,0.719894
"0404
17:31",comm_latency_20260404_173126_20260404_173152_samples.csv,13647,0.338243,0.000000,2.000000,0.000000,6.000000,0.756363
"0404
17:32",comm_latency_20260404_173230_20260404_173300_samples.csv,13950,0.357849,0.000000,2.000000,0.000000,10.000000,0.781058
"0404
17:33",comm_latency_20260404_173342_20260404_173410_samples.csv,13514,0.368803,0.000000,2.000000,0.000000,10.000000,0.840137
"0404
17:34",comm_latency_20260404_173449_20260404_173517_samples.csv,13411,0.431139,0.000000,2.000000,0.000000,10.000000,0.858660
"0404
17:36",comm_latency_20260404_173628_20260404_173654_samples.csv,14189,0.423990,0.000000,2.000000,0.000000,12.000000,0.855226
"0404
17:38",comm_latency_20260404_173844_20260404_173911_samples.csv,13398,0.452605,0.000000,2.000000,0.000000,8.000000,0.863939
"0404
17:39",comm_latency_20260404_173955_20260404_174022_samples.csv,13361,0.461492,0.000000,2.000000,0.000000,10.000000,0.870957
"0404
17:42",comm_latency_20260404_174239_20260404_174306_samples.csv,13830,0.407664,0.000000,2.000000,0.000000,6.000000,0.828377
"0408
20:44",comm_latency_20260408_204457_20260408_204525_samples.csv,12982,0.392698,0.000000,2.000000,0.000000,6.000000,0.799527

summary,value_ms
weighted_mean,0.393016
weighted_median,0.000000
weighted_p95,2.000000
mean_of_means,0.393147
