index,receive_time_sec,source_stamp_sec,latency_ms
1,23.782000,23.782000,0.000
2,23.784000,23.784000,0.000
3,23.786000,23.786000,0.000
4,23.788000,23.788000,0.000
5,23.790000,23.790000,0.000
6,23.792000,23.792000,0.000
7,23.794000,23.794000,0.000
8,23.796000,23.796000,0.000
9,23.798000,23.798000,0.000
10,23.800000,23.800000,0.000
11,23.802000,23.802000,0.000
12,23.804000,23.804000,0.000
13,23.806000,23.806000,0.000
14,23.808000,23.808000,0.000
15,23.810000,23.810000,0.000
16,23.812000,23.812000,0.000
17,23.814000,23.814000,0.000
18,23.816000,23.816000,0.000
19,23.818000,23.818000,0.000
20,23.820000,23.820000,0.000
21,23.822000,23.822000,0.000
22,23.824000,23.824000,0.000
23,23.826000,23.826000,0.000
24,23.830000,23.828000,2.000
25,23.830000,23.830000,0.000
26,23.832000,23.832000,0.000
27,23.834000,23.834000,0.000
28,23.836000,23.836000,0.000
29,23.838000,23.838000,0.000
30,23.840000,23.840000,0.000
31,23.842000,23.842000,0.000
32,23.844000,23.844000,0.000
33,23.846000,23.846000,0.000
34,23.848000,23.848000,0.000
35,23.850000,23.850000,0.000
36,23.852000,23.852000,0.000
37,23.854000,23.854000,0.000
38,23.856000,23.856000,0.000
39,23.858000,23.858000,0.000
40,23.860000,23.860000,0.000
41,23.862000,23.862000,0.000
42,23.864000,23.864000,0.000
43,23.866000,23.866000,0.000
44,23.868000,23.868000,0.000
45,23.870000,23.870000,0.000
46,23.872000,23.872000,0.000
47,23.874000,23.874000,0.000
48,23.876000,23.876000,0.000
49,23.878000,23.878000,0.000
50,23.880000,23.880000,0.000
51,23.882000,23.882000,0.000
52,23.884000,23.884000,0.000
53,23.886000,23.886000,0.000
54,23.888000,23.888000,0.000
55,23.890000,23.890000,0.000
56,23.892000,23.892000,0.000
57,23.894000,23.894000,0.000
58,23.896000,23.896000,0.000
59,23.898000,23.898000,0.000
60,23.900000,23.900000,0.000
61,23.902000,23.902000,0.000
62,23.904000,23.904000,0.000
63,23.906000,23.906000,0.000
64,23.908000,23.908000,0.000
65,23.910000,23.910000,0.000
66,23.912000,23.912000,0.000
67,23.914000,23.914000,0.000
68,23.916000,23.916000,0.000
69,23.918000,23.918000,0.000
70,23.920000,23.920000,0.000
71,23.922000,23.922000,0.000
72,23.924000,23.924000,0.000
73,23.926000,23.926000,0.000
74,23.928000,23.928000,0.000
75,23.930000,23.930000,0.000
76,23.932000,23.932000,0.000
77,23.934000,23.934000,0.000
78,23.936000,23.936000,0.000
79,23.938000,23.938000,0.000
80,23.940000,23.940000,0.000
81,23.942000,23.942000,0.000
82,23.944000,23.944000,0.000
83,23.946000,23.946000,0.000
84,23.948000,23.948000,0.000
85,23.950000,23.950000,0.000
86,23.952000,23.952000,0.000
87,23.954000,23.954000,0.000
88,23.956000,23.956000,0.000
89,23.958000,23.958000,0.000
90,23.960000,23.960000,0.000
91,23.962000,23.962000,0.000
92,23.964000,23.964000,0.000
93,23.966000,23.966000,0.000
94,23.968000,23.968000,0.000
95,23.970000,23.970000,0.000
96,23.972000,23.972000,0.000
97,23.974000,23.974000,0.000
98,23.976000,23.976000,0.000
99,23.978000,23.978000,0.000
100,23.980000,23.980000,0.000
101,23.982000,23.982000,0.000
102,23.984000,23.984000,0.000
103,23.986000,23.986000,0.000
104,23.988000,23.988000,0.000
105,23.990000,23.990000,0.000
106,23.992000,23.992000,0.000
107,23.994000,23.994000,0.000
108,23.996000,23.996000,0.000
109,23.998000,23.998000,0.000
110,24.000000,24.000000,0.000
111,24.002000,24.002000,0.000
112,24.004000,24.004000,0.000
113,24.006000,24.006000,0.000
114,24.008000,24.008000,0.000
115,24.010000,24.010000,0.000
116,24.012000,24.012000,0.000
117,24.014000,24.014000,0.000
118,24.016000,24.016000,0.000
119,24.018000,24.018000,0.000
120,24.020000,24.020000,0.000
121,24.022000,24.022000,0.000
122,24.024000,24.024000,0.000
123,24.026000,24.026000,0.000
124,24.028000,24.028000,0.000
125,24.030000,24.030000,0.000
126,24.032000,24.032000,0.000
127,24.034000,24.034000,0.000
128,24.036000,24.036000,0.000
129,24.038000,24.038000,0.000
130,24.040000,24.040000,0.000
131,24.042000,24.042000,0.000
132,24.044000,24.044000,0.000
