index,time_sec,stage,dt_sec,left_step_mm,right_step_mm,sync_error_mm
1,44.584000,TRANSPORT,0.020000,0.326,0.281,0.045
2,44.604000,TRANSPORT,0.020000,0.000,0.000,0.000
3,44.620000,TRANSPORT,0.016000,0.000,0.000,0.000
4,44.640000,TRANSPORT,0.020000,0.000,0.000,0.000
5,44.664000,TRANSPORT,0.024000,0.196,0.185,0.011
6,44.684000,TRANSPORT,0.020000,0.000,0.000,0.000
7,44.702000,TRANSPORT,0.018000,0.000,0.000,0.000
8,44.720000,TRANSPORT,0.018000,0.120,0.096,0.024
9,44.742000,TRANSPORT,0.022000,0.000,0.000,0.000
10,44.760000,TRANSPORT,0.018000,0.000,0.000,0.000
11,44.782000,TRANSPORT,0.022000,0.062,0.111,0.049
12,44.804000,TRANSPORT,0.022000,0.000,0.000,0.000
13,44.824000,TRANSPORT,0.020000,0.000,0.000,0.000
14,44.842000,TRANSPORT,0.018000,0.000,0.000,0.000
15,44.862000,TRANSPORT,0.020000,0.058,0.097,0.039
16,44.884000,TRANSPORT,0.022000,0.000,0.000,0.000
17,44.900000,TRANSPORT,0.016000,0.000,0.000,0.000
18,44.922000,TRANSPORT,0.022000,0.056,0.057,0.001
19,44.944000,TRANSPORT,0.022000,0.000,0.000,0.000
20,44.964000,TRANSPORT,0.020000,0.000,0.000,0.000
21,44.984000,TRANSPORT,0.020000,0.062,0.084,0.022
22,45.004000,TRANSPORT,0.020000,0.000,0.000,0.000
23,45.022000,TRANSPORT,0.018000,0.000,0.000,0.000
24,45.044000,TRANSPORT,0.022000,0.000,0.000,0.000
25,45.062000,TRANSPORT,0.018000,0.055,0.077,0.022
26,45.084000,TRANSPORT,0.022000,0.000,0.000,0.000
27,45.104000,TRANSPORT,0.020000,0.000,0.000,0.000
28,45.124000,TRANSPORT,0.020000,0.212,0.199,0.014
29,45.142000,TRANSPORT,0.018000,0.000,0.000,0.000
30,45.162000,TRANSPORT,0.020000,0.000,0.000,0.000
31,45.178000,TRANSPORT,0.016000,0.873,0.746,0.127
32,45.202000,TRANSPORT,0.024000,0.000,0.000,0.000
33,45.224000,TRANSPORT,0.022000,0.000,0.000,0.000
34,45.242000,TRANSPORT,0.018000,0.000,0.000,0.000
35,45.264000,TRANSPORT,0.022000,1.126,0.772,0.354
36,45.284000,TRANSPORT,0.020000,0.000,0.000,0.000
37,45.302000,TRANSPORT,0.018000,0.000,0.000,0.000
38,45.324000,TRANSPORT,0.022000,2.498,2.162,0.336
39,45.344000,TRANSPORT,0.020000,0.000,0.000,0.000
40,45.364000,TRANSPORT,0.020000,0.000,0.000,0.000
41,45.382000,TRANSPORT,0.018000,4.737,4.434,0.303
42,45.402000,TRANSPORT,0.020000,0.000,0.000,0.000
43,45.424000,TRANSPORT,0.022000,0.000,0.000,0.000
44,45.442000,TRANSPORT,0.018000,0.000,0.000,0.000
45,45.462000,TRANSPORT,0.020000,7.018,6.756,0.261
46,45.482000,TRANSPORT,0.020000,0.000,0.000,0.000
47,45.504000,TRANSPORT,0.022000,0.000,0.000,0.000
48,45.518000,TRANSPORT,0.014000,9.521,9.199,0.322
49,45.544000,TRANSPORT,0.026000,0.000,0.000,0.000
50,45.560000,TRANSPORT,0.016000,0.000,0.000,0.000
51,45.584000,TRANSPORT,0.024000,11.199,10.806,0.393
52,45.602000,TRANSPORT,0.018000,0.000,0.000,0.000
53,45.622000,TRANSPORT,0.020000,0.000,0.000,0.000
54,45.642000,TRANSPORT,0.020000,0.000,0.000,0.000
55,45.664000,TRANSPORT,0.022000,12.387,11.934,0.453
56,45.684000,TRANSPORT,0.020000,0.000,0.000,0.000
57,45.702000,TRANSPORT,0.018000,0.000,0.000,0.000
58,45.722000,TRANSPORT,0.020000,12.767,12.278,0.489
59,45.740000,TRANSPORT,0.018000,0.000,0.000,0.000
60,45.758000,TRANSPORT,0.018000,0.000,0.000,0.000
61,45.784000,TRANSPORT,0.026000,12.674,12.183,0.491
62,45.804000,TRANSPORT,0.020000,0.000,0.000,0.000
63,45.822000,TRANSPORT,0.018000,0.000,0.000,0.000
64,45.844000,TRANSPORT,0.022000,0.000,0.000,0.000
65,45.864000,TRANSPORT,0.020000,12.746,12.293,0.453
66,45.882000,TRANSPORT,0.018000,0.000,0.000,0.000
67,45.902000,TRANSPORT,0.020000,0.000,0.000,0.000
68,45.924000,TRANSPORT,0.022000,12.383,12.049,0.335
69,45.944000,TRANSPORT,0.020000,0.000,0.000,0.000
70,45.962000,TRANSPORT,0.018000,0.000,0.000,0.000
71,45.982000,TRANSPORT,0.020000,11.001,10.864,0.138
72,46.004000,TRANSPORT,0.022000,0.000,0.000,0.000
73,46.024000,TRANSPORT,0.020000,0.000,0.000,0.000
74,46.042000,TRANSPORT,0.018000,0.000,0.000,0.000
75,46.064000,TRANSPORT,0.022000,12.144,12.245,0.101
76,46.084000,TRANSPORT,0.020000,0.000,0.000,0.000
77,46.104000,TRANSPORT,0.020000,0.000,0.000,0.000
78,46.124000,TRANSPORT,0.020000,11.574,11.989,0.415
79,46.144000,TRANSPORT,0.020000,0.000,0.000,0.000
80,46.164000,TRANSPORT,0.020000,0.000,0.000,0.000
81,46.182000,TRANSPORT,0.018000,10.739,11.455,0.716
82,46.202000,TRANSPORT,0.020000,0.000,0.000,0.000
83,46.224000,TRANSPORT,0.022000,0.000,0.000,0.000
84,46.242000,TRANSPORT,0.018000,0.000,0.000,0.000
85,46.264000,TRANSPORT,0.022000,10.967,12.058,1.092
86,46.284000,TRANSPORT,0.020000,0.000,0.000,0.000
87,46.302000,TRANSPORT,0.018000,0.000,0.000,0.000
88,46.324000,TRANSPORT,0.022000,11.477,13.042,1.565
89,46.342000,TRANSPORT,0.018000,0.000,0.000,0.000
90,46.364000,TRANSPORT,0.022000,0.000,0.000,0.000
91,46.384000,TRANSPORT,0.020000,10.021,11.738,1.717
92,46.404000,TRANSPORT,0.020000,0.000,0.000,0.000
93,46.420000,TRANSPORT,0.016000,0.000,0.000,0.000
94,46.444000,TRANSPORT,0.024000,0.000,0.000,0.000
95,46.460000,TRANSPORT,0.016000,9.831,11.779,1.947
96,46.484000,TRANSPORT,0.024000,0.000,0.000,0.000
97,46.502000,TRANSPORT,0.018000,0.000,0.000,0.000
98,46.524000,TRANSPORT,0.022000,8.551,10.368,1.818
99,46.544000,TRANSPORT,0.020000,0.000,0.000,0.000
100,46.564000,TRANSPORT,0.020000,0.000,0.000,0.000
101,46.576000,TRANSPORT,0.012000,7.368,8.995,1.626
102,46.600000,TRANSPORT,0.024000,0.000,0.000,0.000
103,46.622000,TRANSPORT,0.022000,0.000,0.000,0.000
104,46.640000,TRANSPORT,0.018000,0.000,0.000,0.000
105,46.662000,TRANSPORT,0.022000,6.020,7.281,1.261
106,46.682000,TRANSPORT,0.020000,0.000,0.000,0.000
107,46.704000,TRANSPORT,0.022000,0.000,0.000,0.000
108,46.724000,TRANSPORT,0.020000,4.532,5.446,0.914
109,46.742000,TRANSPORT,0.018000,0.000,0.000,0.000
110,46.764000,TRANSPORT,0.022000,0.000,0.000,0.000
111,46.784000,TRANSPORT,0.020000,2.787,3.303,0.516
112,46.800000,TRANSPORT,0.016000,0.000,0.000,0.000
113,46.824000,TRANSPORT,0.024000,0.000,0.000,0.000
114,46.844000,TRANSPORT,0.020000,0.000,0.000,0.000
115,46.864000,TRANSPORT,0.020000,1.329,1.567,0.237
116,46.884000,TRANSPORT,0.020000,0.000,0.000,0.000
117,46.902000,TRANSPORT,0.018000,0.000,0.000,0.000
118,46.920000,TRANSPORT,0.018000,0.480,0.631,0.151
119,46.942000,TRANSPORT,0.022000,0.000,0.000,0.000
