index,time_sec,stage,dt_sec,left_step_mm,right_step_mm,sync_error_mm
1,35.486000,TRANSPORT,0.018000,0.770,0.861,0.090
2,35.508000,TRANSPORT,0.022000,0.000,0.000,0.000
3,35.528000,TRANSPORT,0.020000,0.000,0.000,0.000
4,35.548000,TRANSPORT,0.020000,0.772,0.789,0.017
5,35.564000,TRANSPORT,0.016000,0.000,0.000,0.000
6,35.588000,TRANSPORT,0.024000,0.000,0.000,0.000
7,35.606000,TRANSPORT,0.018000,1.094,1.015,0.079
8,35.628000,TRANSPORT,0.022000,0.000,0.000,0.000
9,35.648000,TRANSPORT,0.020000,0.000,0.000,0.000
10,35.668000,TRANSPORT,0.020000,0.000,0.000,0.000
11,35.686000,TRANSPORT,0.018000,1.193,1.083,0.110
12,35.708000,TRANSPORT,0.022000,0.000,0.000,0.000
13,35.724000,TRANSPORT,0.016000,0.000,0.000,0.000
14,35.748000,TRANSPORT,0.024000,1.090,0.993,0.097
15,35.768000,TRANSPORT,0.020000,0.000,0.000,0.000
16,35.786000,TRANSPORT,0.018000,0.000,0.000,0.000
17,35.808000,TRANSPORT,0.022000,1.338,1.294,0.044
18,35.828000,TRANSPORT,0.020000,0.000,0.000,0.000
19,35.848000,TRANSPORT,0.020000,0.000,0.000,0.000
20,35.866000,TRANSPORT,0.018000,0.000,0.000,0.000
21,35.886000,TRANSPORT,0.020000,1.930,1.990,0.060
22,35.906000,TRANSPORT,0.020000,0.000,0.000,0.000
23,35.928000,TRANSPORT,0.022000,0.000,0.000,0.000
24,35.948000,TRANSPORT,0.020000,2.536,2.566,0.030
25,35.968000,TRANSPORT,0.020000,0.000,0.000,0.000
26,35.988000,TRANSPORT,0.020000,0.000,0.000,0.000
27,36.008000,TRANSPORT,0.020000,3.449,3.452,0.003
28,36.028000,TRANSPORT,0.020000,0.000,0.000,0.000
29,36.048000,TRANSPORT,0.020000,0.000,0.000,0.000
30,36.064000,TRANSPORT,0.016000,0.000,0.000,0.000
31,36.086000,TRANSPORT,0.022000,3.993,3.907,0.086
32,36.106000,TRANSPORT,0.020000,0.000,0.000,0.000
33,36.124000,TRANSPORT,0.018000,0.000,0.000,0.000
34,36.148000,TRANSPORT,0.024000,4.957,4.885,0.072
35,36.168000,TRANSPORT,0.020000,0.000,0.000,0.000
36,36.186000,TRANSPORT,0.018000,0.000,0.000,0.000
37,36.206000,TRANSPORT,0.020000,5.652,5.560,0.093
38,36.228000,TRANSPORT,0.022000,0.000,0.000,0.000
