metric,value
reason,task_status_DONE
base_frame,base_link
left_frame,mj_left_hand
right_frame,mj_right_hand
sync_target_mm,5.000000
ee_target_mm,2.000000
sync_sample_count,324
sync_error_min_mm,0.000000
sync_error_mean_mm,0.019839
sync_error_p95_mm,0.122582
sync_error_max_mm,0.318859
sync_within_target_pass,PASS
energy_proxy_j,419.105576
power_sample_count,12686
power_mean_abs,16.511920
descend_terminal_error_valid,true
ee_terminal_error_mm,28.795185
ee_within_target_pass,FAIL
stage_transition_count,10
tf_lookup_miss_count,11
joint_payload_missing_count,0
joint_dt_invalid_count,1619
joint_time_invalid_count,0
joint_power_invalid_count,0
descend_ref_capture_fail_count,0
descend_terminal_eval_fail_count,0
sync_samples_csv,/home/lidio/franka_ws_1/experiment_results/reports/task_metrics_20260409_104936_compliant_20260409_105004_sync_samples.csv
