index,time_sec,stage,dt_sec,left_step_mm,right_step_mm,sync_error_mm
1,35.262000,TRANSPORT,0.018000,0.368,0.449,0.082
2,35.284000,TRANSPORT,0.022000,0.000,0.000,0.000
3,35.304000,TRANSPORT,0.020000,0.433,0.462,0.029
4,35.320000,TRANSPORT,0.016000,0.368,0.338,0.029
5,35.344000,TRANSPORT,0.024000,0.000,0.000,0.000
6,35.362000,TRANSPORT,0.018000,0.579,0.535,0.044
7,35.384000,TRANSPORT,0.022000,0.000,0.000,0.000
8,35.404000,TRANSPORT,0.020000,0.638,0.586,0.052
9,35.424000,TRANSPORT,0.020000,0.608,0.554,0.054
10,35.444000,TRANSPORT,0.020000,0.000,0.000,0.000
11,35.464000,TRANSPORT,0.020000,0.521,0.485,0.036
12,35.484000,TRANSPORT,0.020000,0.000,0.000,0.000
13,35.504000,TRANSPORT,0.020000,0.465,0.445,0.020
14,35.524000,TRANSPORT,0.020000,0.597,0.571,0.025
15,35.542000,TRANSPORT,0.018000,0.000,0.000,0.000
16,35.564000,TRANSPORT,0.022000,0.537,0.524,0.014
17,35.584000,TRANSPORT,0.020000,0.000,0.000,0.000
18,35.604000,TRANSPORT,0.020000,0.635,0.640,0.005
19,35.624000,TRANSPORT,0.020000,0.751,0.756,0.006
20,35.642000,TRANSPORT,0.018000,0.000,0.000,0.000
21,35.660000,TRANSPORT,0.018000,0.899,0.906,0.007
22,35.682000,TRANSPORT,0.022000,0.000,0.000,0.000
23,35.702000,TRANSPORT,0.020000,0.937,0.939,0.002
24,35.724000,TRANSPORT,0.022000,1.302,1.301,0.001
25,35.744000,TRANSPORT,0.020000,0.000,0.000,0.000
26,35.764000,TRANSPORT,0.020000,1.313,1.315,0.002
27,35.784000,TRANSPORT,0.020000,0.000,0.000,0.000
28,35.804000,TRANSPORT,0.020000,1.546,1.544,0.002
29,35.824000,TRANSPORT,0.020000,1.597,1.590,0.007
30,35.844000,TRANSPORT,0.020000,0.000,0.000,0.000
31,35.860000,TRANSPORT,0.016000,1.871,1.833,0.038
32,35.884000,TRANSPORT,0.024000,0.000,0.000,0.000
33,35.902000,TRANSPORT,0.018000,2.069,1.976,0.093
34,35.924000,TRANSPORT,0.022000,1.953,1.886,0.067
35,35.944000,TRANSPORT,0.020000,0.000,0.000,0.000
36,35.964000,TRANSPORT,0.020000,2.475,2.419,0.056
37,35.984000,TRANSPORT,0.020000,0.000,0.000,0.000
38,36.004000,TRANSPORT,0.020000,2.469,2.432,0.037
39,36.022000,TRANSPORT,0.018000,2.625,2.570,0.056
40,36.044000,TRANSPORT,0.022000,0.000,0.000,0.000
41,36.064000,TRANSPORT,0.020000,2.593,2.551,0.042
42,36.082000,TRANSPORT,0.018000,0.000,0.000,0.000
43,36.102000,TRANSPORT,0.020000,2.913,2.838,0.075
44,36.124000,TRANSPORT,0.022000,3.058,2.979,0.080
45,36.142000,TRANSPORT,0.018000,0.000,0.000,0.000
46,36.162000,TRANSPORT,0.020000,3.015,2.940,0.075
47,36.182000,TRANSPORT,0.020000,0.000,0.000,0.000
48,36.196000,TRANSPORT,0.014000,3.356,3.285,0.071
49,36.222000,TRANSPORT,0.026000,3.516,3.453,0.063
50,36.242000,TRANSPORT,0.020000,0.000,0.000,0.000
51,36.262000,TRANSPORT,0.020000,3.664,3.614,0.051
52,36.284000,TRANSPORT,0.022000,0.000,0.000,0.000
53,36.304000,TRANSPORT,0.020000,3.338,3.303,0.035
54,36.320000,TRANSPORT,0.016000,3.890,3.856,0.034
55,36.344000,TRANSPORT,0.024000,0.000,0.000,0.000
56,36.364000,TRANSPORT,0.020000,4.234,4.203,0.031
57,36.384000,TRANSPORT,0.020000,0.000,0.000,0.000
58,36.402000,TRANSPORT,0.018000,3.847,3.823,0.024
59,36.424000,TRANSPORT,0.022000,4.146,4.121,0.025
60,36.444000,TRANSPORT,0.020000,0.000,0.000,0.000
61,36.464000,TRANSPORT,0.020000,3.924,3.906,0.017
62,36.484000,TRANSPORT,0.020000,0.000,0.000,0.000
63,36.504000,TRANSPORT,0.020000,4.165,4.152,0.014
64,36.524000,TRANSPORT,0.020000,3.653,3.638,0.014
65,36.538000,TRANSPORT,0.014000,0.000,0.000,0.000
66,36.564000,TRANSPORT,0.026000,4.325,4.302,0.023
67,36.584000,TRANSPORT,0.020000,0.000,0.000,0.000
68,36.604000,TRANSPORT,0.020000,3.979,3.997,0.017
69,36.624000,TRANSPORT,0.020000,3.808,3.914,0.105
70,36.644000,TRANSPORT,0.020000,0.000,0.000,0.000
71,36.662000,TRANSPORT,0.018000,3.468,3.557,0.089
72,36.684000,TRANSPORT,0.022000,0.000,0.000,0.000
73,36.706000,TRANSPORT,0.022000,3.347,3.445,0.098
74,36.722000,TRANSPORT,0.016000,3.681,3.698,0.017
75,36.742000,TRANSPORT,0.020000,0.000,0.000,0.000
76,36.764000,TRANSPORT,0.022000,2.943,2.984,0.041
77,36.784000,TRANSPORT,0.020000,0.000,0.000,0.000
78,36.804000,TRANSPORT,0.020000,3.356,3.444,0.088
79,36.824000,TRANSPORT,0.020000,3.052,3.081,0.029
80,36.844000,TRANSPORT,0.020000,0.000,0.000,0.000
81,36.864000,TRANSPORT,0.020000,2.711,2.772,0.061
82,36.884000,TRANSPORT,0.020000,0.000,0.000,0.000
83,36.902000,TRANSPORT,0.018000,2.792,2.743,0.049
84,36.924000,TRANSPORT,0.022000,2.645,2.589,0.057
85,36.944000,TRANSPORT,0.020000,0.000,0.000,0.000
86,36.964000,TRANSPORT,0.020000,2.463,2.457,0.006
87,36.984000,TRANSPORT,0.020000,0.000,0.000,0.000
88,37.002000,TRANSPORT,0.018000,2.156,2.137,0.019
89,37.024000,TRANSPORT,0.022000,2.123,2.085,0.038
90,37.044000,TRANSPORT,0.020000,0.000,0.000,0.000
91,37.062000,TRANSPORT,0.018000,1.862,1.932,0.070
92,37.082000,TRANSPORT,0.020000,0.000,0.000,0.000
93,37.104000,TRANSPORT,0.022000,1.577,1.630,0.053
94,37.124000,TRANSPORT,0.020000,1.505,1.516,0.011
95,37.144000,TRANSPORT,0.020000,0.000,0.000,0.000
96,37.164000,TRANSPORT,0.020000,1.229,1.255,0.026
97,37.184000,TRANSPORT,0.020000,0.000,0.000,0.000
98,37.204000,TRANSPORT,0.020000,1.118,1.144,0.026
99,37.222000,TRANSPORT,0.018000,0.929,0.946,0.017
100,37.244000,TRANSPORT,0.022000,0.000,0.000,0.000
101,37.262000,TRANSPORT,0.018000,0.649,0.675,0.026
102,37.280000,TRANSPORT,0.018000,0.000,0.000,0.000
103,37.304000,TRANSPORT,0.024000,0.554,0.632,0.079
104,37.324000,TRANSPORT,0.020000,0.375,0.429,0.054
105,37.342000,TRANSPORT,0.018000,0.000,0.000,0.000
106,37.362000,TRANSPORT,0.020000,0.267,0.298,0.031
107,37.380000,TRANSPORT,0.018000,0.000,0.000,0.000
108,37.402000,TRANSPORT,0.022000,0.187,0.196,0.009
109,37.424000,TRANSPORT,0.022000,0.132,0.169,0.037
110,37.438000,TRANSPORT,0.014000,0.000,0.000,0.000
111,37.464000,TRANSPORT,0.026000,0.112,0.149,0.037
112,37.484000,TRANSPORT,0.020000,0.000,0.000,0.000
113,37.502000,ROTATE,0.018000,0.090,0.114,0.023
114,37.522000,ROTATE,0.020000,0.065,0.105,0.040
115,37.544000,ROTATE,0.022000,0.000,0.000,0.000
116,37.560000,ROTATE,0.016000,0.077,0.055,0.022
117,37.582000,ROTATE,0.022000,0.000,0.000,0.000
118,37.602000,ROTATE,0.020000,0.068,0.046,0.022
119,37.622000,ROTATE,0.020000,0.056,0.039,0.017
120,37.642000,ROTATE,0.020000,0.000,0.000,0.000
121,37.662000,ROTATE,0.020000,0.131,0.118,0.013
122,37.684000,ROTATE,0.022000,0.000,0.000,0.000
123,37.702000,ROTATE,0.018000,0.482,0.442,0.040
124,37.724000,ROTATE,0.022000,0.691,0.634,0.057
125,37.744000,ROTATE,0.020000,0.000,0.000,0.000
126,37.758000,ROTATE,0.014000,0.797,0.720,0.077
127,37.784000,ROTATE,0.026000,0.000,0.000,0.000
128,37.804000,ROTATE,0.020000,0.820,0.725,0.095
129,37.824000,ROTATE,0.020000,0.848,0.744,0.104
130,37.842000,ROTATE,0.018000,0.000,0.000,0.000
131,37.864000,ROTATE,0.022000,0.872,0.764,0.108
132,37.882000,ROTATE,0.018000,0.000,0.000,0.000
133,37.904000,ROTATE,0.022000,0.694,0.592,0.102
134,37.924000,ROTATE,0.020000,0.807,0.623,0.184
135,37.944000,ROTATE,0.020000,0.000,0.000,0.000
136,37.960000,ROTATE,0.016000,0.698,0.534,0.164
137,37.982000,ROTATE,0.022000,0.000,0.000,0.000
138,38.004000,ROTATE,0.022000,0.649,0.502,0.147
139,38.022000,ROTATE,0.018000,0.655,0.516,0.138
140,38.042000,ROTATE,0.020000,0.000,0.000,0.000
141,38.064000,ROTATE,0.022000,0.618,0.533,0.086
142,38.084000,ROTATE,0.020000,0.000,0.000,0.000
143,38.104000,ROTATE,0.020000,0.674,0.633,0.041
144,38.124000,ROTATE,0.020000,0.701,0.656,0.045
145,38.144000,ROTATE,0.020000,0.000,0.000,0.000
146,38.162000,ROTATE,0.018000,0.633,0.609,0.024
147,38.184000,ROTATE,0.022000,0.000,0.000,0.000
148,38.200000,ROTATE,0.016000,0.666,0.657,0.009
149,38.220000,ROTATE,0.020000,0.650,0.662,0.012
150,38.244000,ROTATE,0.024000,0.000,0.000,0.000
151,38.264000,ROTATE,0.020000,0.701,0.720,0.019
152,38.284000,ROTATE,0.020000,0.000,0.000,0.000
153,38.300000,ROTATE,0.016000,0.673,0.695,0.022
154,38.322000,ROTATE,0.022000,0.790,0.802,0.012
155,38.344000,ROTATE,0.022000,0.000,0.000,0.000
156,38.362000,ROTATE,0.018000,0.720,0.721,0.001
157,38.384000,ROTATE,0.022000,0.000,0.000,0.000
158,38.402000,ROTATE,0.018000,0.776,0.753,0.023
159,38.420000,ROTATE,0.018000,0.735,0.724,0.011
160,38.444000,ROTATE,0.024000,0.000,0.000,0.000
161,38.464000,ROTATE,0.020000,0.875,0.855,0.020
162,38.484000,ROTATE,0.020000,0.000,0.000,0.000
163,38.504000,ROTATE,0.020000,0.788,0.765,0.023
164,38.522000,ROTATE,0.018000,0.844,0.806,0.038
165,38.540000,ROTATE,0.018000,0.000,0.000,0.000
166,38.564000,ROTATE,0.024000,0.792,0.751,0.041
167,38.582000,ROTATE,0.018000,0.000,0.000,0.000
168,38.604000,ROTATE,0.022000,0.835,0.800,0.035
169,38.622000,ROTATE,0.018000,0.836,0.794,0.042
170,38.642000,ROTATE,0.020000,0.000,0.000,0.000
171,38.664000,ROTATE,0.022000,0.732,0.701,0.031
172,38.682000,ROTATE,0.018000,0.000,0.000,0.000
173,38.704000,ROTATE,0.022000,0.873,0.847,0.027
174,38.718000,ROTATE,0.014000,0.728,0.702,0.025
175,38.744000,ROTATE,0.026000,0.000,0.000,0.000
176,38.762000,ROTATE,0.018000,0.916,0.893,0.022
177,38.782000,ROTATE,0.020000,0.000,0.000,0.000
178,38.802000,ROTATE,0.020000,0.775,0.754,0.022
179,38.822000,ROTATE,0.020000,0.820,0.800,0.020
180,38.844000,ROTATE,0.022000,0.000,0.000,0.000
181,38.864000,ROTATE,0.020000,0.770,0.761,0.009
182,38.880000,ROTATE,0.016000,0.000,0.000,0.000
183,38.902000,ROTATE,0.022000,0.774,0.759,0.016
184,38.924000,ROTATE,0.022000,0.868,0.855,0.012
185,38.940000,ROTATE,0.016000,0.000,0.000,0.000
186,38.960000,ROTATE,0.020000,0.774,0.765,0.009
187,38.982000,ROTATE,0.022000,0.000,0.000,0.000
188,39.004000,ROTATE,0.022000,0.777,0.762,0.015
189,39.020000,ROTATE,0.016000,0.727,0.717,0.010
190,39.040000,ROTATE,0.020000,0.000,0.000,0.000
191,39.062000,ROTATE,0.022000,0.922,0.915,0.006
192,39.082000,ROTATE,0.020000,0.000,0.000,0.000
193,39.104000,ROTATE,0.022000,0.826,0.815,0.011
194,39.124000,ROTATE,0.020000,0.827,0.825,0.003
195,39.144000,ROTATE,0.020000,0.000,0.000,0.000
196,39.158000,ROTATE,0.014000,0.783,0.771,0.012
197,39.184000,ROTATE,0.026000,0.000,0.000,0.000
198,39.202000,ROTATE,0.018000,0.829,0.825,0.004
199,39.224000,ROTATE,0.022000,0.834,0.827,0.007
200,39.242000,ROTATE,0.018000,0.000,0.000,0.000
201,39.262000,ROTATE,0.020000,0.737,0.730,0.007
202,39.282000,ROTATE,0.020000,0.000,0.000,0.000
203,39.304000,ROTATE,0.022000,0.882,0.882,0.000
204,39.324000,ROTATE,0.020000,0.790,0.783,0.007
205,39.344000,ROTATE,0.020000,0.000,0.000,0.000
206,39.362000,ROTATE,0.018000,0.828,0.819,0.009
207,39.384000,ROTATE,0.022000,0.000,0.000,0.000
208,39.402000,ROTATE,0.018000,0.807,0.802,0.005
209,39.424000,ROTATE,0.022000,0.731,0.713,0.018
210,39.442000,ROTATE,0.018000,0.000,0.000,0.000
211,39.456000,ROTATE,0.014000,0.730,0.712,0.017
212,39.484000,ROTATE,0.028000,0.000,0.000,0.000
213,39.504000,ROTATE,0.020000,0.602,0.581,0.021
214,39.524000,ROTATE,0.020000,0.669,0.627,0.042
215,39.542000,ROTATE,0.018000,0.000,0.000,0.000
216,39.562000,ROTATE,0.020000,0.565,0.526,0.039
217,39.584000,ROTATE,0.022000,0.000,0.000,0.000
218,39.604000,ROTATE,0.020000,0.501,0.450,0.051
219,39.622000,ROTATE,0.018000,0.423,0.374,0.049
220,39.644000,ROTATE,0.022000,0.000,0.000,0.000
221,39.662000,ROTATE,0.018000,0.330,0.284,0.046
222,39.682000,ROTATE,0.020000,0.000,0.000,0.000
223,39.704000,ROTATE,0.022000,0.282,0.232,0.050
224,39.722000,ROTATE,0.018000,0.225,0.185,0.040
225,39.738000,ROTATE,0.016000,0.000,0.000,0.000
226,39.758000,ROTATE,0.020000,0.157,0.130,0.027
227,39.782000,ROTATE,0.024000,0.000,0.000,0.000
228,39.804000,ROTATE,0.022000,0.095,0.100,0.005
229,39.824000,ROTATE,0.020000,0.070,0.089,0.019
230,39.842000,ROTATE,0.018000,0.000,0.000,0.000
231,39.864000,ROTATE,0.022000,0.085,0.098,0.013
232,39.882000,ROTATE,0.018000,0.000,0.000,0.000
233,39.904000,ROTATE,0.022000,0.066,0.070,0.004
234,39.922000,ROTATE,0.018000,0.106,0.066,0.040
235,39.942000,ROTATE,0.020000,0.000,0.000,0.000
236,39.960000,ROTATE,0.018000,0.079,0.044,0.035
237,39.984000,ROTATE,0.024000,0.000,0.000,0.000
238,40.002000,ROTATE,0.018000,0.055,0.033,0.022
239,40.024000,ROTATE,0.022000,0.046,0.059,0.013
240,40.044000,ROTATE,0.020000,0.000,0.000,0.000
241,40.064000,ROTATE,0.020000,0.059,0.068,0.008
242,40.084000,ROTATE,0.020000,0.000,0.000,0.000
243,40.102000,ROTATE,0.018000,0.150,0.129,0.021
244,40.122000,ROTATE,0.020000,0.436,0.458,0.022
245,40.144000,ROTATE,0.022000,0.000,0.000,0.000
246,40.164000,ROTATE,0.020000,0.698,0.741,0.043
247,40.182000,ROTATE,0.018000,0.000,0.000,0.000
248,40.200000,ROTATE,0.018000,0.642,0.682,0.041
249,40.220000,ROTATE,0.020000,0.689,0.724,0.035
250,40.244000,ROTATE,0.024000,0.000,0.000,0.000
251,40.264000,ROTATE,0.020000,0.602,0.627,0.025
252,40.280000,ROTATE,0.016000,0.000,0.000,0.000
253,40.302000,ROTATE,0.022000,0.478,0.494,0.015
254,40.322000,ROTATE,0.020000,0.337,0.350,0.014
255,40.344000,ROTATE,0.022000,0.000,0.000,0.000
256,40.364000,ROTATE,0.020000,0.230,0.249,0.020
257,40.382000,ROTATE,0.018000,0.000,0.000,0.000
258,40.402000,ROTATE,0.020000,0.295,0.386,0.091
259,40.422000,ROTATE,0.020000,0.375,0.504,0.129
260,40.444000,ROTATE,0.022000,0.000,0.000,0.000
261,40.462000,ROTATE,0.018000,0.621,0.836,0.215
262,40.484000,ROTATE,0.022000,0.000,0.000,0.000
263,40.504000,ROTATE,0.020000,0.608,0.809,0.201
264,40.524000,ROTATE,0.020000,0.729,0.947,0.218
265,40.542000,ROTATE,0.018000,0.000,0.000,0.000
266,40.562000,ROTATE,0.020000,0.654,0.830,0.176
267,40.584000,ROTATE,0.022000,0.000,0.000,0.000
268,40.604000,ROTATE,0.020000,0.696,0.866,0.170
269,40.624000,ROTATE,0.020000,0.662,0.806,0.144
270,40.644000,ROTATE,0.020000,0.000,0.000,0.000
271,40.662000,ROTATE,0.018000,0.754,0.873,0.119
272,40.684000,ROTATE,0.022000,0.000,0.000,0.000
273,40.702000,ROTATE,0.018000,0.683,0.769,0.085
274,40.722000,ROTATE,0.020000,0.732,0.808,0.076
275,40.744000,ROTATE,0.022000,0.000,0.000,0.000
276,40.762000,ROTATE,0.018000,0.761,0.794,0.033
277,40.784000,ROTATE,0.022000,0.000,0.000,0.000
278,40.802000,ROTATE,0.018000,0.644,0.682,0.038
279,40.822000,ROTATE,0.020000,0.773,0.830,0.057
280,40.844000,ROTATE,0.022000,0.000,0.000,0.000
281,40.864000,ROTATE,0.020000,0.695,0.758,0.062
282,40.884000,ROTATE,0.020000,0.000,0.000,0.000
283,40.900000,ROTATE,0.016000,0.751,0.820,0.069
284,40.924000,ROTATE,0.024000,0.762,0.824,0.062
285,40.944000,ROTATE,0.020000,0.000,0.000,0.000
286,40.962000,ROTATE,0.018000,0.724,0.776,0.051
287,40.980000,ROTATE,0.018000,0.000,0.000,0.000
288,41.002000,ROTATE,0.022000,0.775,0.821,0.045
289,41.022000,ROTATE,0.020000,0.781,0.817,0.036
290,41.042000,ROTATE,0.020000,0.000,0.000,0.000
291,41.058000,ROTATE,0.016000,0.783,0.815,0.032
292,41.080000,ROTATE,0.022000,0.000,0.000,0.000
293,41.104000,ROTATE,0.024000,0.737,0.765,0.028
294,41.124000,ROTATE,0.020000,0.737,0.760,0.023
295,41.142000,ROTATE,0.018000,0.000,0.000,0.000
296,41.162000,ROTATE,0.020000,0.783,0.805,0.022
297,41.184000,ROTATE,0.022000,0.000,0.000,0.000
298,41.200000,ROTATE,0.016000,0.737,0.754,0.016
299,41.220000,ROTATE,0.020000,0.784,0.798,0.014
300,41.244000,ROTATE,0.024000,0.000,0.000,0.000
301,41.264000,ROTATE,0.020000,0.828,0.841,0.013
302,41.284000,ROTATE,0.020000,0.000,0.000,0.000
303,41.304000,ROTATE,0.020000,0.734,0.744,0.009
304,41.324000,ROTATE,0.020000,0.688,0.696,0.007
305,41.344000,ROTATE,0.020000,0.000,0.000,0.000
306,41.362000,ROTATE,0.018000,0.779,0.786,0.007
307,41.384000,ROTATE,0.022000,0.000,0.000,0.000
308,41.404000,ROTATE,0.020000,0.822,0.829,0.007
309,41.424000,ROTATE,0.020000,0.728,0.734,0.006
310,41.444000,ROTATE,0.020000,0.000,0.000,0.000
311,41.464000,ROTATE,0.020000,0.817,0.823,0.006
312,41.482000,ROTATE,0.018000,0.000,0.000,0.000
313,41.502000,ROTATE,0.020000,0.679,0.684,0.005
314,41.524000,ROTATE,0.022000,0.812,0.818,0.006
315,41.544000,ROTATE,0.020000,0.000,0.000,0.000
316,41.564000,ROTATE,0.020000,0.719,0.725,0.006
317,41.582000,ROTATE,0.018000,0.000,0.000,0.000
318,41.604000,ROTATE,0.022000,0.717,0.723,0.006
319,41.622000,ROTATE,0.018000,0.803,0.811,0.008
320,41.642000,ROTATE,0.020000,0.000,0.000,0.000
321,41.664000,ROTATE,0.022000,0.711,0.716,0.004
322,41.684000,ROTATE,0.020000,0.000,0.000,0.000
323,41.704000,ROTATE,0.020000,0.710,0.716,0.006
324,41.722000,ROTATE,0.018000,0.796,0.802,0.006
325,41.740000,ROTATE,0.018000,0.000,0.000,0.000
326,41.764000,ROTATE,0.024000,0.705,0.710,0.005
327,41.782000,ROTATE,0.018000,0.000,0.000,0.000
328,41.804000,ROTATE,0.022000,0.747,0.752,0.005
329,41.822000,ROTATE,0.018000,0.745,0.748,0.004
330,41.844000,ROTATE,0.022000,0.000,0.000,0.000
331,41.864000,ROTATE,0.020000,0.698,0.703,0.006
332,41.880000,ROTATE,0.016000,0.000,0.000,0.000
333,41.904000,ROTATE,0.024000,0.737,0.744,0.007
334,41.922000,ROTATE,0.018000,0.723,0.727,0.004
335,41.942000,ROTATE,0.020000,0.000,0.000,0.000
336,41.964000,ROTATE,0.022000,0.651,0.650,0.001
337,41.982000,ROTATE,0.018000,0.000,0.000,0.000
338,42.004000,ROTATE,0.022000,0.610,0.606,0.005
339,42.024000,ROTATE,0.020000,0.593,0.584,0.008
340,42.044000,ROTATE,0.020000,0.000,0.000,0.000
341,42.064000,ROTATE,0.020000,0.554,0.543,0.011
342,42.084000,ROTATE,0.020000,0.000,0.000,0.000
343,42.104000,ROTATE,0.020000,0.424,0.414,0.010
344,42.120000,ROTATE,0.016000,0.354,0.344,0.009
345,42.144000,ROTATE,0.024000,0.000,0.000,0.000
346,42.162000,ROTATE,0.018000,0.312,0.304,0.008
347,42.184000,ROTATE,0.022000,0.000,0.000,0.000
348,42.200000,ROTATE,0.016000,0.204,0.203,0.002
349,42.222000,ROTATE,0.022000,0.161,0.165,0.003
350,42.244000,ROTATE,0.022000,0.000,0.000,0.000
351,42.262000,ROTATE,0.018000,0.120,0.127,0.006
352,42.282000,ROTATE,0.020000,0.000,0.000,0.000
353,42.302000,ROTATE,0.020000,0.086,0.092,0.006
354,42.322000,ROTATE,0.020000,0.074,0.077,0.003
355,42.344000,ROTATE,0.022000,0.000,0.000,0.000
356,42.364000,ROTATE,0.020000,0.073,0.064,0.009
