index,time_sec,stage,dt_sec,left_step_mm,right_step_mm,sync_error_mm
1,35.112000,TRANSPORT,0.022000,0.395,0.444,0.048
2,35.130000,TRANSPORT,0.018000,0.000,0.000,0.000
3,35.150000,TRANSPORT,0.020000,0.403,0.352,0.051
4,35.170000,TRANSPORT,0.020000,0.452,0.382,0.070
5,35.190000,TRANSPORT,0.020000,0.000,0.000,0.000
6,35.212000,TRANSPORT,0.022000,0.667,0.592,0.075
7,35.230000,TRANSPORT,0.018000,0.000,0.000,0.000
8,35.250000,TRANSPORT,0.020000,0.599,0.552,0.048
9,35.266000,TRANSPORT,0.016000,0.613,0.562,0.051
10,35.292000,TRANSPORT,0.026000,0.000,0.000,0.000
11,35.308000,TRANSPORT,0.016000,0.482,0.453,0.028
12,35.332000,TRANSPORT,0.024000,0.000,0.000,0.000
13,35.348000,TRANSPORT,0.016000,0.486,0.472,0.014
14,35.370000,TRANSPORT,0.022000,0.468,0.437,0.032
15,35.388000,TRANSPORT,0.018000,0.000,0.000,0.000
16,35.410000,TRANSPORT,0.022000,0.512,0.499,0.013
17,35.428000,TRANSPORT,0.018000,0.000,0.000,0.000
18,35.452000,TRANSPORT,0.024000,0.523,0.516,0.007
19,35.470000,TRANSPORT,0.018000,0.686,0.656,0.029
20,35.492000,TRANSPORT,0.022000,0.000,0.000,0.000
21,35.512000,TRANSPORT,0.020000,0.729,0.690,0.039
22,35.530000,TRANSPORT,0.018000,0.000,0.000,0.000
23,35.550000,TRANSPORT,0.020000,0.848,0.808,0.040
24,35.570000,TRANSPORT,0.020000,1.109,1.046,0.063
25,35.590000,TRANSPORT,0.020000,0.000,0.000,0.000
26,35.612000,TRANSPORT,0.022000,1.109,1.034,0.074
27,35.630000,TRANSPORT,0.018000,0.000,0.000,0.000
28,35.652000,TRANSPORT,0.022000,1.200,1.151,0.049
29,35.672000,TRANSPORT,0.020000,1.351,1.362,0.011
30,35.690000,TRANSPORT,0.018000,0.000,0.000,0.000
31,35.712000,TRANSPORT,0.022000,1.263,1.297,0.034
32,35.732000,TRANSPORT,0.020000,0.000,0.000,0.000
33,35.750000,TRANSPORT,0.018000,1.713,1.748,0.035
34,35.772000,TRANSPORT,0.022000,1.646,1.665,0.019
35,35.792000,TRANSPORT,0.020000,0.000,0.000,0.000
36,35.812000,TRANSPORT,0.020000,1.543,1.556,0.013
37,35.832000,TRANSPORT,0.020000,0.000,0.000,0.000
38,35.852000,TRANSPORT,0.020000,2.002,1.958,0.044
39,35.872000,TRANSPORT,0.020000,1.912,1.849,0.063
40,35.892000,TRANSPORT,0.020000,0.000,0.000,0.000
41,35.906000,TRANSPORT,0.014000,2.111,2.102,0.009
42,35.930000,TRANSPORT,0.024000,0.000,0.000,0.000
43,35.950000,TRANSPORT,0.020000,2.062,2.078,0.017
44,35.972000,TRANSPORT,0.022000,2.011,2.023,0.011
45,35.992000,TRANSPORT,0.020000,0.000,0.000,0.000
46,36.010000,TRANSPORT,0.018000,2.716,2.655,0.061
47,36.030000,TRANSPORT,0.020000,0.000,0.000,0.000
48,36.052000,TRANSPORT,0.022000,2.420,2.344,0.076
49,36.072000,TRANSPORT,0.020000,2.651,2.616,0.035
50,36.090000,TRANSPORT,0.018000,0.000,0.000,0.000
51,36.110000,TRANSPORT,0.020000,2.563,2.565,0.002
52,36.132000,TRANSPORT,0.022000,0.000,0.000,0.000
53,36.152000,TRANSPORT,0.020000,3.016,2.982,0.034
54,36.170000,TRANSPORT,0.018000,3.001,2.942,0.059
55,36.186000,TRANSPORT,0.016000,0.000,0.000,0.000
56,36.212000,TRANSPORT,0.026000,2.945,2.884,0.061
57,36.226000,TRANSPORT,0.014000,0.000,0.000,0.000
58,36.252000,TRANSPORT,0.026000,2.660,2.605,0.054
59,36.272000,TRANSPORT,0.020000,3.700,3.636,0.064
60,36.292000,TRANSPORT,0.020000,0.000,0.000,0.000
61,36.312000,TRANSPORT,0.020000,3.353,3.344,0.009
62,36.332000,TRANSPORT,0.020000,0.000,0.000,0.000
63,36.350000,TRANSPORT,0.018000,3.387,3.411,0.024
